"","YEAR","PID","CLASS_TYPE","AREA","FRAC","PROX","ENN","CLASS_NAME"
"229",2023,2489,"cls_3",0.7146,1.0283,19370.4859,63.9,"Pasture"
"230",2023,2490,"cls_3",1.0208,1.0764,19492.7483,63.9,"Pasture"
"231",2023,2491,"cls_3",0.2042,1.0155,12680.8561,63.9,"Pasture"
"232",2023,2492,"cls_3",0.1021,1,10929.5502,63.9,"Pasture"
"233",2023,2493,"cls_3",0.1021,1,19411.5405,63.9,"Pasture"
"234",2023,2506,"cls_3",3.0624,1.1066,12500.1443,95.85,"Pasture"
"235",2023,2507,"cls_3",0.6125,1.0047,1058.423,180.7365,"Pasture"
"236",2023,2515,"cls_3",0.6125,1.0047,1643.5921,90.3682,"Pasture"
"237",2023,2550,"cls_3",2.2458,1.0799,31198.384,101.0348,"Pasture"
"238",2023,2552,"cls_3",16749.5316,1.2637,141610.257,63.9,"Pasture"
"239",2023,2555,"cls_3",0.2042,1.0155,5624.7928,142.8847,"Pasture"
"240",2023,2592,"cls_3",0.2042,1.0155,1399.6925,287.55,"Pasture"
"241",2023,2663,"cls_3",1.327,1.089,22480.2834,71.4424,"Pasture"
"242",2023,2679,"cls_3",6.6352,1.1447,62396.5465,71.4424,"Pasture"
"243",2023,2690,"cls_3",0.8166,1.0473,14049.6216,90.3682,"Pasture"
"244",2023,2693,"cls_3",0.3062,1.0358,62388.0616,71.4424,"Pasture"
"245",2023,2700,"cls_3",0.1021,1,77980.8002,63.9,"Pasture"
"246",2023,2729,"cls_3",0.2042,1.0909,19450.9224,63.9,"Pasture"
"247",2023,2768,"cls_3",3.6749,1.0874,34667.0543,95.85,"Pasture"
"248",2023,2777,"cls_3",3.0624,1.0609,49183.2105,63.9,"Pasture"
"249",2023,2779,"cls_3",1.4291,1.1309,18411.3869,95.85,"Pasture"
"250",2023,2798,"cls_3",0.1021,1,16522.3521,95.85,"Pasture"
"251",2023,2802,"cls_3",0.1021,1,4562.7304,71.4424,"Pasture"
"252",2023,2804,"cls_3",0.4083,1.0537,41126.4652,63.9,"Pasture"
"253",2023,2807,"cls_3",0.3062,1.0358,8574.3758,71.4424,"Pasture"
"254",2023,2817,"cls_3",3.879,1.0608,32919.7828,71.4424,"Pasture"
"255",2023,2832,"cls_3",1.8374,1.0869,34669.0447,95.85,"Pasture"
"256",2023,2837,"cls_3",0.3062,1.0914,14058.7222,90.3682,"Pasture"
"257",2023,2848,"cls_3",2.1437,1.054,62391.3506,71.4424,"Pasture"
"258",2023,2856,"cls_3",0.9187,1.0338,77985.4039,63.9,"Pasture"
"259",2023,2868,"cls_3",0.8166,1.0769,62398.2748,71.4424,"Pasture"
"260",2023,2886,"cls_3",12.9642,1.1719,10776.3244,172.056,"Pasture"
"261",2023,2899,"cls_3",0.1021,1,19249.686,63.9,"Pasture"
"262",2023,2918,"cls_3",5.0019,1.1072,12652.993,115.1974,"Pasture"
"263",2023,2919,"cls_3",1.9395,1.123,24008.9441,115.1974,"Pasture"
"264",2023,2945,"cls_3",0.6125,1.1125,19515.8483,63.9,"Pasture"
"265",2023,2947,"cls_3",0.4083,1.1346,28078.7414,63.9,"Pasture"
"266",2023,2955,"cls_3",0.3062,1.0358,78010.6108,63.9,"Pasture"
"267",2023,2964,"cls_3",0.7146,1.0283,4297.2462,63.9,"Pasture"
"268",2023,2984,"cls_3",1.5312,1.0909,3149.7676,232.5995,"Pasture"
